Genus,Species,Replicate.number,Group,Habitat,Trophic.group,Ref.tg,Body.length,Min.bl,Max.bl,Ref.bl,Dry.mass,Min.dm,Max.dm,Ref.dm,Cct.prop,Min.Cprop,Max.Cprop,Cct.total,Ref.C,Nct.prop,Min.Nprop,Max.Nprop,Nct.total,Ref.N,Pct.prop,Min.Pprop,Max.Pprop,Pct.total,Ref.P,N:Pct,Min.NP,Max.NP,Ref.NP,Protein.ct,Min.prot,Max.prot,Ref.prot,Lipid.ct,Min.lip,Max.lip,Ref.lip,Respiration.rt.ind,Respiration.rt.mg,Min.resp.mg,Max.resp.mg,Temp.resp.rt,Min.temp.resp.rt,Max.temp.resp.rt,Ref.resp,N-ammonia.ex.rt.ug.ind,N-ammonia.ex.rt.ug.dm,Min.Nex.rt.ug.dm,Max.Nex.rt.ug.dm,N-ammonia.ex.rt.nmol.dm,N-ammonia.ex.rt.nmol.ind,Min.Nex.rt.nmol.ind,Max.Nex.rt.nmol.ind,Temp.Nex.rt,Min.temp.Nex.rt,Max.temp.Nex.rt,Ref.N.ex,P-phosphate.ex.rt.ug.ind,P-phosphate.ex.rt.ug.dm,Min.Pex.rt.ug.dm,Max.Pex.rt.ug.dm,P-phosphate.ex.rt.nmol.dm,P-phosphate.ex.rt.nmol.ind,Min.Pex.rt.nmol.ind,Max.Pex.rt.nmol.ind,Temp.Pex.rt,Min.temp.Pex.rt,Max.temp.Pex.rt,Ref.P.ex,N:P.ex,Min.NP.ex,Max.NP.ex,Ref.NPex
Diaptomus,gracilis,NA,Copepoda,Freshwater,NA,NA,NA,NA,NA,NA,"0,008",NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,196,"9,4",NA,NA,196,"0,061",NA,NA,NA,20,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,graciloides,1,Copepoda,Freshwater,Herbivore,1,"1,1",NA,NA,1,"0,00907",NA,NA,"1,18,20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,graciloides,2,Copepoda,Freshwater,NA,NA,NA,NA,NA,NA,"0,0065",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,0668",NA,NA,NA,20,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,graciloides-(M),NA,Copepoda,Freshwater,NA,NA,NA,NA,NA,NA,"0,0123",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,0828",NA,NA,NA,20,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,leptopus,1,Copepoda,Freshwater,Herbivore,1,"1,47",NA,NA,1,"0,01864",NA,NA,"1,18,20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,178",NA,NA,NA,20,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,4","1,4",NA,NA,NA,NA,RT,NA,NA,37,NA,NA,NA,NA
Diaptomus,leptopus,2,Copepoda,Freshwater,NA,NA,NA,NA,NA,NA,"0,0222",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,minutus,1,Copepoda,Freshwater,OmniCarn,19,"0,89",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,4","1,4",NA,NA,NA,NA,RT,NA,NA,37,NA,NA,NA,NA
Diaptomus,minutus,2,Copepoda,Freshwater,NA,NA,NA,"0,706","0,851",18,NA,"0,00197","0,00355",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,oregonensis,1,Copepoda,Freshwater,Herbivore,19,"1,14",NA,NA,19,"0,011",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,09",NA,NA,NA,22,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaptomus,oregonensis,2,Copepoda,Freshwater,NA,NA,NA,"0,76","1,176",18,NA,"0,00384","0,00866",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
