Submitted_name,Accepted_name,Accepted_TSN,Order,Family,Genus,Species
Anepeorus,Anepeorus,100663,Ephemeroptera,Heptageniidae,Anepeorus,NA
Anepeorus rusticus,Anepeorus rusticus,100664,Ephemeroptera,Heptageniidae,Anepeorus,Anepeorus rusticus
Pseudiron,Pseudiron,100673,Ephemeroptera,Heptageniidae,Pseudiron,NA
Macdunnoa,Macdunnoa,100744,Ephemeroptera,Heptagenidae,Macdunnoa,NA
Spinadis,Spinadis,100747,Ephemeroptera,Heptageniidae,Spinadis,NA
Spinadis wallacei,Spinadis simplex,698287,Ephemeroptera,Heptageniidae,Spinadis,Spinadis simplex
Acanthomola pubescens,Anepeorus rusticus,100664,Ephemeroptera,Heptageniidae,Anepeorus,Anepeorus rusticus
Dactylobaetis cepheus,Camelobaetidius warreni,568592,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius warreni
Siphlonisca aerodromia,Siphlonisca aerodromia,100980,Ephemeroptera,Siphlonuridae,Siphlonisca,Siphlonisca aerodromia
Parameletus columbiae,Parameletus columbiae,100983,Ephemeroptera,Siphlonuridae,Parameletus,Parameletus columbiae
Acanthametropus,Acanthametropus,100987,Ephemeroptera,Acanthametropodidae,Acanthametropus,NA
Acanthametropus pecatonica,Acanthametropus pecatonica,100989,Ephemeroptera,Acanthametropodidae,Acanthametropus,Acanthametropus pecatonica
Edmundsius agilis,Edmundsius agilis,100995,Ephemeroptera,Siphlonuridae,Edmundsius,Edmundsius agilis
Ameletus dissitus,Ameletus dissitus,100998,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus dissitus
Ameletus facilis,Ameletus vancouverensis,101026,Ephemeroptera,Ameletidae,Ameletus,Ameletus vancouverensis
Ameletus imbellis,Ameletus imbellis,101000,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus imbellis
Ameletus validus,Ameletus validus,101002,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus validus
Ameletus velox,Ameletus velox,101003,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus velox
Ameletus cooki,Ameletus cooki,101006,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus cooki
Ameletus ludens,Ameletus ludens,101010,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus ludens
Ameletus oregonensis,Ameletus oregonensis,101011,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus oregonensis
Ameletus similior,Ameletus similior,101012,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus similior
Ameletus similior,Ameletus similior,101012,Ephemeroptera,Ameletidae,Ameletus,Ameletus similior
Ameletus sparsatus,Ameletus sparsatus,101013,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus sparsatus
Ameletus walleyi,Ameletus walleyi,101028,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus walleyi
Metretopus borealis,Metretopus borealis,101092,Ephemeroptera,Metretopodidae,Metretopus,Metretopus borealis
Thraulodes,Thraulodes,101128,Ephemeroptera,Leptophlebiidae,Thraulodes,NA
Thraulodes brunneus,Thraulodes brunneus,101130,Ephemeroptera,Leptophlebiidae,Thraulodes,Thraulodes brunneus
Pentagenia,Pentagenia,101588,Ephemeroptera,Ephemeridae,Pentagenia,NA
Pentagenia vittigera,Pentagenia vittigera,101589,Ephemeroptera,Ephemeridae,Pentagenia,Pentagenia vittigera
Coryphaeschna,Coryphaeschna,101639,Odonata,Aeshnidae,Coryphaeschna,NA
Gomphurus,Gomphus,591869,Odonata,Gomphidae,Gomphus,NA
Hylogomphus,Gomphus,591873,Odonata,Gomphidae,Gomphus,NA
Plathemis,Plathemis,101808,Odonata,Coenagrionidae,Plathemis,NA
Williamsonia fletcheri,Williamsonia fletcheri,101829,Odonata,Corduliidae,Williamsonia,Williamsonia fletcheri
Brachymesia,Brachymesia,101830,Odonata,Libellulidae,Brachymesia,NA
Epicordulia,Epitheca,591871,Odonata,Corduliidae,Epitheca,NA
Tetragoneuria,Epitheca,591872,Odonata,Corduliidae,Epitheca,NA
Macromiidae,Macromiinae,591727,Odonata,Corduliidae,NA,NA
Epitheca,Epitheca,102035,Odonata,Cordulegastridae,Epitheca,NA
Archilestes,Archilestes,102059,Odonata,Lestidae,Archilestes,NA
Allonarcys,Pteronarcys,102471,Plecoptera,Pteronarcyidae,Pteronarcys,NA
Allonarcys biloba,Pteronarcys biloba,102474,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys biloba
Allonarcys proteus,Pteronarcys proteus,102480,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys proteus
Allonarcys scotti,Pteronarcys scotti,102482,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys scotti
Sierraperla cora,Sierraperla cora,102515,Plecoptera,Peltoperlidae,Sierraperla,Sierraperla cora
Lednia tumana,Lednia tumana,102630,Plecoptera,Nemouridae,Lednia,Lednia tumana
Capnura,Capnura,102690,Plecoptera,Capniidae,Capnura,NA
Isocapnia,Isocapnia,102740,Plecoptera,Capniidae,Isocapnia,NA
Isocapnia vedderensis,Isocapnia vedderensis,102741,Plecoptera,Capniidae,Isocapnia,Isocapnia vedderensis
Isocapnia spenceri,Isocapnia spenceri,102742,Plecoptera,Capniidae,Isocapnia,Isocapnia spenceri
Isocapnia missourii,Isocapnia integra,102745,Plecoptera,Capniidae,Isocapnia,Isocapnia integra
Isocapnia hyalita,Isocapnia hyalita,102746,Plecoptera,Capniidae,Isocapnia,Isocapnia hyalita
Isocapnia grandis,Isocapnia grandis,102747,Plecoptera,Capniidae,Isocapnia,Isocapnia grandis
Isocapnia crinita,Isocapnia crinita,102749,Plecoptera,Capniidae,Isocapnia,Isocapnia crinita
Isocapnia agassizi,Isocapnia agassizi,102750,Plecoptera,Capniidae,Isocapnia,Isocapnia agassizi
Isocapnia abbreviata,Isocapnia abbreviata,102751,Plecoptera,Capniidae,Isocapnia,Isocapnia abbreviata
Bolshecapnia milami,Bolshecapnia milami,102767,Plecoptera,Capniidae,Bolshecapnia,Bolshecapnia milami
Bolshecapnia sasquatchi,Sasquacapnia sasquatchi,1093921,Plecoptera,Capniidae,Sasquacapnia,Sasquacapnia sasquatchi
Bolshecapnia spenceri,Bolshecapnia spenceri,102770,Plecoptera,Capniidae,Bolshecapnia,Bolshecapnia spenceri
Bolotoperla,Bolotoperla,102836,Plecoptera,Taeniopterygidae,Bolotoperla,NA
Megaleuctra kincaidi,Megaleuctra kincaidi,102878,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra kincaidi
Megaleuctra stigmata,Megaleuctra stigmata,102881,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra stigmata
Megaleuctra complicata,Megaleuctra complicata,102882,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra complicata
Moselia,Moselia,102909,Plecoptera,Leuctridae,Moselia,NA
Moselia infuscata,Moselia infuscata,102910,Plecoptera,Leuctridae,Moselia,Moselia infuscata
Phasganophora capitata,Agnetina capitata,102979,Plecoptera,Perlidae,Agnetina,Agnetina capitata
Isogenus,Isogenus,103070,Plecoptera,Perlodidae,Isogenus,NA
Arcynopteryx compacta,Arcynopteryx compacta,103093,Plecoptera,Perlodidae,Arcynopteryx,Arcynopteryx compacta
Hydroperla,Hydroperla,103106,Plecoptera,Perlodidae,Hydroperla,NA
Hydroperla fugitans,Hydroperla fugitans,103107,Plecoptera,Perlodidae,Hydroperla,Hydroperla fugitans
Hydroperla crosbyi,Hydroperla crosbyi,103108,Plecoptera,Perlodidae,Hydroperla,Hydroperla crosbyi
Doroneuria,Doroneuria,103121,Plecoptera,Perlodidae,Doroneuria,NA
Doroneuria theodora,Doroneuria theodora,103122,Plecoptera,Perlodidae,Doroneuria,Doroneuria theodora
Perlinodes,Perlinodes,103134,Plecoptera,Perlodidae,Perlinodes,NA
Perlinodes aurea,Perlinodes aurea,103135,Plecoptera,Perlodidae,Perlinodes,Perlinodes aurea
Soliperla thyra,Soliperla thyra,103143,Plecoptera,Peltoperlidae,Soliperla,Soliperla thyra
Soliperla campanula,Soliperla campanula,103144,Plecoptera,Peltoperlidae,Soliperla,Soliperla campanula
Soliperla fenderi,Soliperla fenderi,103145,Plecoptera,Peltoperlidae,Soliperla,Soliperla fenderi
Soliperla quadrispinula,Soliperla quadrispinula,103146,Plecoptera,Peltoperlidae,Soliperla,Soliperla quadrispinula
Cascadoperla,Cascadoperla,103157,Plecoptera,Perlodidae,Cascadoperla,NA
Chernokrilus misnomus,Chernokrilus misnomus,103161,Plecoptera,Perlodidae,Chernokrilus,Chernokrilus misnomus
Chernokrilus erratus,Chernokrilus erratus,103162,Plecoptera,Perlodidae,Chernokrilus,Chernokrilus erratus
Frisonia picticeps,Frisonia picticeps,103172,Plecoptera,Perlodidae,Frisonia,Frisonia picticeps
Oroperla,Oroperla,103180,Plecoptera,Perlodidae,Oroperla,NA
Oroperla barbara,Oroperla barbara,103181,Plecoptera,Perlodidae,Oroperla,Oroperla barbara
Osobenus,Osobenus,103183,Plecoptera,Perlodidae,Osobenus,NA
Osobenus yakimae,Osobenus yakimae,103184,Plecoptera,Perlodidae,Osobenus,Osobenus yakimae
Pictetiella,Pictetiella,103186,Plecoptera,Perlodidae,Pictetiella,NA
Pictetiella expansa,Pictetiella expansa,103188,Plecoptera,Perlodidae,Pictetiella,Pictetiella expansa
Rickera,Rickera,103189,Plecoptera,Perlodidae,Rickera,NA
Rickera sorpta,Rickera sorpta,103190,Plecoptera,Perlodidae,Rickera,Rickera sorpta
Setvena,Setvena,103193,Plecoptera,Perlodidae,Setvena,NA
Setvena bradleyi,Setvena bradleyi,103194,Plecoptera,Perlodidae,Setvena,Setvena bradleyi
Setvena tibialis,Setvena tibialis,103195,Plecoptera,Perlodidae,Setvena,Setvena tibialis
Perlomyia,Perlomyia,103239,Plecoptera,Leuctridae,Perlomyia,NA
Perlomyia collaris,Perlomyia collaris,103240,Plecoptera,Leuctridae,Perlomyia,Perlomyia collaris
Perlomyia utahensis,Perlomyia utahensis,103243,Plecoptera,Leuctridae,Perlomyia,Perlomyia utahensis
Atoperla ephyre,Perlinella ephyre,103248,Plecoptera,Perlidae,Perlinella,Perlinella ephyre
Hastaperla,Haploperla,103260,Plecoptera,Chloroperlidae,Haploperla,NA
Hastaperla brevis,Haploperla brevis,103263,Plecoptera,Chloroperlidae,Haploperla,Haploperla brevis
Hastaperla chilnualna,Haploperla chilnualna,103267,Plecoptera,Chloroperlidae,Haploperla,Haploperla chilnualna
Bisancora,Bisancora,103300,Plecoptera,Chloroperlidae,Bisancora,NA
Neaviperla forcipata,Suwallia forcipata,609888,Plecoptera,Chloroperlidae,Suwallia,Suwallia forcipata
Alaskaperla,Alaskaperla,103316,Plecoptera,Chloroperlidae,Alaskaperla,NA
Alaskaperla ovibovis,Alaskaperla ovibovis,103317,Plecoptera,Chloroperlidae,Alaskaperla,Alaskaperla ovibovis
Dasycorixa hybrida,Dasycorixa hybrida,103467,Hemiptera,Corixidae,Dasycorixa,Dasycorixa hybrida
Nerthra,Nerthra,103778,Hemiptera,Gelastocoridae,Nerthra,NA
Gerridae,Gerridae,103801,Hemiptera,Gerridae,Gerridae,NA
Hydrometridae,Hydrometridae,103938,Hemiptera,Hydrometridae,NA,NA
Lipogomphus brevis,Lipogomphus brevis,103987,Hemiptera,Hebridae,Lipogomphus,Lipogomphus brevis
Thalassotrechus,Thalassotrechus,109235,Coleoptera,Carabidae,Thalassotrechus,NA
Anodocheilus,Anodocheilus,111964,Coleoptera,Dytiscidae,Anodocheilus,NA
Anodocheilus exiguus,Anodocheilus exiguus,111965,Coleoptera,Dytiscidae,Anodocheilus,Anodocheilus exiguus
Agabus,Agabus,111966,Trichoptera,Glossosomatidae,Agabus,NA
Pachydrus princeps,Pachydrus princeps,112082,Coleoptera,Dytiscidae,Pachydrus,Pachydrus princeps
Megadytes,Megadytes,112308,Coleoptera,Dytiscidae,Megadytes,NA
Spanglerogyrus,Spanglerogyrus,112735,Coleoptera,Gyrinidae,Spanglerogyrus,NA
Sphaeriidae,Sphaeriusidae,678385,Coleoptera,Sphaeriusidae,NA,NA
Hydroscaphidae,Hydroscaphidae,112744,Coleoptera,Hydroscaphidae,NA,NA
Hydroscapha natans,Hydroscapha natans,112746,Coleoptera,Hydroscaphidae,Hydroscapha,Hydroscapha natans
Phaenonotum,Phaenonotum,112893,Coleoptera,Hydrophilidae,Phaenonotum,NA
Dibolocelus,Hydrophilus,722269,Coleoptera,Hydrophilidae,Hydrophilus,NA
Derallus,Derallus,113087,Coleoptera,Hydrophilidae,Derallus,NA
Derallus altus,Derallus altus,113088,Coleoptera,Hydrophilidae,Derallus,Derallus altus
Helodidae,Scirtidae,113924,Coleoptera,Scirtidae,NA,NA
Cyphon,Elodes,113969,Coleoptera,Scirtidae,Elodes,NA
Elodes,Elodes,113969,Coleoptera,Helodidae,Elodes,NA
Dryops,Dryops,114025,Coleoptera,Dryopidae,Dryops,NA
Dryops arizonensis,Dryops arizonensis,114027,Coleoptera,Dryopidae,Dryops,Dryops arizonensis
Narpus arizonica,Narpus arizonicus,945771,Coleoptera,Elmidae,Narpus,Narpus arizonicus
Ancyronyx variegatus,Ancyronyx variegatus,114194,Coleoptera,Elmidae,Ancyronyx,Ancyronyx variegatus
Elsianus,Macrelmis,193736,Coleoptera,Elmidae,Macrelmis,NA
Elsianus moestus,Macrelmis moesta,945764,Coleoptera,Elmidae,Macrelmis,Macrelmis moesta
Elsianus shoemaker,Macrelmis shoemakei,193737,Coleoptera,Elmidae,Macrelmis,Macrelmis shoemakei
Elsianus texanus,Macrelmis texana,945766,Coleoptera,Elmidae,Macrelmis,Macrelmis texana
Chelonarium,Chelonarium,114279,Coleoptera,Chelonariidae,Chelonarium,NA
Lissorhoptrus,Lissorhoptrus,114681,Coleoptera,Curculionidae,Lissorhoptrus,NA
Lissorhoptrus simplex,Lissorhoptrus simplex,114682,Coleoptera,Curculionidae,Lissorhoptrus,Lissorhoptrus simplex
Onychylis,Onychylis,114774,Coleoptera,Curculionidae,Onychylis,NA
Notiodes,Notiodes,114823,Coleoptera,Curculionidae,Notiodes,NA
Tanysphyrus lemnae,Tanysphyrus lemnae,114897,Coleoptera,Curculionidae,Tanysphyrus,Tanysphyrus lemnae
Protochauliodes,Protochauliodes,115053,Megaloptera,Corydalidae,Protochauliodes,NA
Matrioptila,Matrioptila,115246,Trichoptera,Glossosomatidae,Matrioptila,NA
Matrioptila jeanae,Matrioptila jeanae,115247,Trichoptera,Glossosomatidae,Matrioptila,Matrioptila jeanae
Oropsyche,Oropsyche,115542,Trichoptera,Hydropsychidae,Oropsyche,NA
Neotrichia okopa,Neotrichia okopa,115842,Trichoptera,Hydroptilidae,Neotrichia,Neotrichia okopa
Philocasca,Philocasca,115971,Trichoptera,Limnephilidae,Philocasca,NA
Chyranda,Chyranda,116017,Trichoptera,Limnephilidae,Chyranda,NA
Rossiana,Rossiana,116401,Trichoptera,Rossianidae,Rossiana,NA
Goerita,Goerita,116462,Trichoptera,Goeridae,Goerita,NA
Goerita semata,Goerita semata,116464,Trichoptera,Goeridae,Goerita,Goerita semata
Beraeidae,Beraeidae,116489,Trichoptera,Beraeidae,NA,NA
Beraea,Beraea,116490,Trichoptera,Beraeidae,Beraea,NA
Beraea gorteba,Beraea gorteba,116491,Trichoptera,Beraeidae,Beraea,Beraea gorteba
Pseudogoera,Pseudogoera,116527,Trichoptera,Odontoceridae,Pseudogoera,NA
Pseudogoera singularis,Pseudogoera singularis,116528,Trichoptera,Odontoceridae,Pseudogoera,Pseudogoera singularis
Ceraclea improcera,Ceraclea cancellata,116702,Trichoptera,Leptoceridae,Ceraclea,Ceraclea cancellata
Eobrachycentrus,Eobrachycentrus,116971,Trichoptera,Brachycentridae,Eobrachycentrus,NA
Eobrachycentrus gelidae,Eobrachycentrus gelidae,116972,Trichoptera,Brachycentridae,Eobrachycentrus,Eobrachycentrus gelidae
Oligoplectrum echo,Brachycentrus echo,604657,Trichoptera,Brachycentridae,Brachycentrus,Brachycentrus echo
Agapetus bifidus,Agapetus bifidus,117144,Trichoptera,Glossosomatidae,Agapetus,Agapetus bifidus
Glossosoma velona,Glossosoma velona,117216,Trichoptera,Glossosomatidae,Glossosoma,Glossosoma velona
Austrotinodes,Austrotinodes,117223,Trichoptera,Ecnomidae,Austrotinodes,NA
Paraponyx,Paraponyx,117642,Lepidoptera,Pyralidae,Paraponyx,NA
Petrophila,Petrophila,117682,Lepidoptera,Pyralidae,Petrophila,NA
Petrophila,Petrophila,117682,Lepidoptera,Crambidae,Petrophila,NA
Acentria,Acentria,117741,Lepidoptera,Pyralidae,Acentria,NA
Limonia,Limonia,119704,Diptera,Tipulidae,Limonia,NA
Limnophila,Limnophila,120164,Diptera,Tipulidae,Limnophila,NA
Ormosia,Ormosia,120830,Diptera,Tipulidae,Ormosia,NA
Wyeomyia,Wyeomyia,126089,Diptera,Culicidae,Wyeomyia,NA
Metacnephia,Metacnephia,126687,Diptera,Simuliidae,Metacnephia,NA
Leptoconops,Leptoconops,127079,Diptera,Ceratopogonidae,Leptoconops,NA
Brachypogon canadensis,Brachypogon canadensis,127549,Diptera,Ceratopogonidae,Brachypogon,Brachypogon canadensis
Jenkinshelea,Jenkinshelea,127684,Diptera,Ceratopogonidae,Jenkinshelea,NA
Johannsenomyia,Johannsenomyia,127693,Diptera,Ceratopogonidae,Johannsenomyia,NA
Helopelopia,Conchapelopia,128130,Diptera,Chironomidae,Conchapelopia,NA
Meropelopia,Conchapelopia,128130,Diptera,Chironomidae,Conchapelopia,NA
Hayesomyia,Thienemannimyia,128236,Diptera,Chironomidae,Thienemannimyia,NA
Hayesomyia senata,Thienemannimyia senata,128245,Diptera,Chironomidae,Thienemannimyia,Thienemannimyia senata
Cricotopus intersectus,Cricotopus intersectus,128614,Diptera,Chironomidae,Cricotopus intersectus,NA
Cricotopus sylvestris,Cricotopus sylvestris,128645,Diptera,Chironomidae,Cricotopus,Cricotopus sylvestris
Cricotopus reversus,Cricotopus reversus,128668,Diptera,Chironomidae,Cricotopus,Cricotopus reversus
Halocladius,Halocladius,128725,Diptera,Chironomidae,Halocladius,NA
Oliveridia,Oliveridia,128867,Diptera,Chironomidae,Oliveridia,NA
Trissocladius,Oliveridia,128867,Diptera,Chironomidae,Oliveridia,NA
Symposiocladius,Orthocladius,128874,Diptera,Chironomidae,Orthocladius,NA
Pedionomus beckae,Asheum beckae,129234,Diptera,Chironomidae,Asheum,Asheum beckae
Demeijerea,Demeijerea,129412,Diptera,Chironomidae,Demeijerea,NA
Demeijerea atrimana,Demeijerea atrimana,129415,Diptera,Chironomidae,Demeijerea,Demeijerea atrimana
Demeijerea brachialis,Demeijerea brachialis,129417,Diptera,Chironomidae,Demeijerea,Demeijerea brachialis
Tribelos jucundus,Tribelos jucundus,129827,Diptera,Chironomidae,Tribelos,Tribelos jucundus
Calopsectra xantha,Micropsectra xantha,129919,Diptera,Chironomidae,Micropsectra,Micropsectra xantha
Calopsectra neoflavella,Tanytarsus neoflavellus,130009,Diptera,Chironomidae,Tanytarsus,Tanytarsus neoflavellus
Cryptocladopelma,Cryptocladopelma,130048,Diptera,Chironomidae,Cryptocladopelma,NA
Glutops,Glutops,130915,Plecoptera,Pelecorhynchidae,Glutops,NA
Suragina,Suragina,130933,Diptera,Athericidae,Suragina,NA
Proclinopyga,Proclinopyga,135887,Diptera,Empididae,Proclinopyga,NA
Stilpon,Stilpon,136732,Diptera,Empididae,Stilpon,NA
Systenus,Systenus,137160,Diptera,Dolichopodidae,Systenus,NA
Argyra,Argyra,137250,Diptera,Dolichopodidae,Argyra,NA
Asyndetus,Asyndetus,137300,Diptera,Dolichopodidae,Asyndetus,NA
Dolichopus,Dolichopus,137953,Diptera,Dolichopodidae,Dolichopus,NA
Hercostomus,Hercostomus,138399,Diptera,Dolichopodidae,Hercostomus,NA
Pelastoneurus,Pelastoneurus,138465,Diptera,Dolichopodidae,Pelastoneurus,NA
Tachytrechus,Tachytrechus,138523,Diptera,Dolichopodidae,Tachytrechus,NA
Hydrophorus,Hydrophorus,138606,Diptera,Dolicopodidae,Hydrophorus,NA
Liancalus,Liancalus,138729,Diptera,Dolichopodidae,Liancalus,NA
Thinophilus,Thinophilus,138756,Diptera,Dolichopodidae,Thinophilus,NA
Allotrichoma,Allotrichoma,146896,Diptera,Ephydridae,Allotrichoma,NA
Clanoneurum,Clanoneurum,147016,Diptera,Ephydridae,Clanoneurum,NA
Discomyza,Discomyza,147018,Diptera,Ephydridae,Discomyza,NA
Athyroglossa,Athyroglossa,147023,Diptera,Ephydridae,Athyroglossa,NA
Platygymnopa,Platygymnopa,147046,Diptera,Ephydridae,Platygymnopa,NA
Helaeomyia,Helaeomyia,147072,Diptera,Ephydridae,Helaeomyia,NA
Leptopsilopa,Leptopsilopa,147075,Diptera,Ephydridae,Leptopsilopa,NA
Psilopa,Psilopa,147096,Diptera,Ephydridae,Psilopa,NA
Rhysophora,Rhysophora,147107,Diptera,Ephydridae,Rhysophora,NA
Ilythea,Ilythea,147187,Diptera,Ephydridae,Ilythea,NA
Zeros,Zeros,147192,Diptera,Ephydridae,Zeros,NA
Paralimna,Paralimna,147274,Diptera,Ephydridae,Paralimna,NA
Typopsilopa,Typopsilopa,147283,Diptera,Ephydridae,Typopsilopa,NA
Gastrops,Gastrops,147294,Diptera,Ephydridae,Gastrops,NA
Axysta,Axysta,147298,Diptera,Ephydridae,Axysta,NA
Hyadina,Hyadina,147311,Diptera,Ephydridae,Hyadina,NA
Lytogaster,Lytogaster,147323,Diptera,Ephydridae,Lytogaster,NA
Nostima,Nostima,147443,Diptera,Ephydridae,Nostima,NA
Philygria,Philygria,147456,Diptera,Ephydridae,Philygria,NA
Cirrula,Cirrula,147472,Diptera,Ephydridae,Cirrula,NA
Coenia,Coenia,147478,Diptera,Ephydridae,Coenia,NA
Paracoenia,Paracoenia,147509,Diptera,Ephydridae,Paracoenia,NA
Hesperagrion,Hesperagrion,181187,Odonata,Coenagrionidae,Hesperagrion,NA
Curicta,Curicta,181194,Hemiptera,Nepidae,Curicta,NA
Brachyvatus apicatus,Brachyvatus apicatus,193566,Coleoptera,Dytiscidae,Brachyvatus,Brachyvatus apicatus
Acanthametropodidae,Acanthametropodidae,568543,Ephemeroptera,Acanthametropodidae,NA,NA
Caurinella,Caurinella,568557,Ephemeroptera,Ephemerellidae,Caurinella,NA
Neochoroterpes,Neochoroterpes,568558,Ephemeroptera,Leptophlebiidae,Neochoroterpes,NA
Caurinella idahoensis,Caurinella idahoensis,568633,Ephemeroptera,Ephemerellidae,Caurinella,Caurinella idahoensis
Phyllogomphoides,Phyllogomphoides,591837,Odonata,Gomphidae,Phyllogomphoides,NA
Paucicalcaria,Paucicalcaria,598624,Trichoptera,Hydroptilidae,Paucicalcaria,NA
Austrotinodes texensis,Austrotinodes texensis,598967,Trichoptera,Ecnomidae,Austrotinodes,Austrotinodes texensis
Micrasema ozarkanum,Micrasema ozarkanum,604712,Trichoptera,Brachycentridae,Micrasema,Micrasema ozarkanum
Goerita betteni,Goerita betteni,604850,Trichoptera,Goeridae,Goerita,Goerita betteni
Paucicalcaria ozarkensis,Paucicalcaria ozarkensis,606858,Trichoptera,Hydroptilidae,Paucicalcaria,Paucicalcaria ozarkensis
Goerita flinti,Goerita flinti,608783,Trichoptera,Goeridae,Goerita,Goerita flinti
Arthropleidae,Arthropleidae,609508,Ephemeroptera,Arthropleidae,NA,NA
Euhrychiopsis,Euhrychiopsis,616861,Coleoptera,Curculionidae,Euhrychiopsis,NA
Baetopus,Baetopus,697956,Ephemeroptera,Baetidae,Baetopus,NA
Baetopus trishae,Baetopus trishae,697984,Ephemeroptera,Baetidae,Baetopus,Baetopus trishae
Arctocorisa,Arctocorisa,717548,Hemiptera,Corixidae,Arctocorisa,NA
Bidessini,Bidessini,728228,Coleoptera,Dytiscidae,Bidessini,NA
Frisonla,Frisonia,103171,Plecoptera,Perlodidae,Frisonia,NA
Hagenulus rangelae,Leptophlebiidae,101181,Ephemeroptera,Leptophlebiidae,NA,NA
Bezzia/Palpomyia,Bezzia,127778,Diptera,Ceratopogonidae,Bezzia,NA
Bezzia/Palpomyia,Palpomyia,127859,Diptera,Ceratopogonidae,Palpomyia,NA
Forcipomyia/Probezzia,Forcipomyia,127152,Diptera,Ceratopogonidae,Forcipomyia,NA
Forcipomyia/Probezzia,Probezzia,127729,Diptera,Ceratopogonidae,Probezzia,NA
Hydrous,Hydrophilus,113204,Coleoptera,Hydrophilidae,Hydrophilus,NA
Cricotopus/Orthocladius,Cricotopus,128575,Diptera,Chironomidae,Cricotopus,NA
Cricotopus/Orthocladius,Orthocladius,128874,Diptera,Chironomidae,Orthocladius,NA
Neohagenulus luteolus,Leptophlebiidae,101181,Ephemeroptera,Leptophlebiidae,NA,NA
Palmocorixa,Palmacorixa,103491,Hemiptera,Corixidae,Palmacorixa,NA
Neohagenulus tinctus,Leptophlebiidae,101181,Ephemeroptera,Leptophlebiidae,NA,NA
Neohagenulus julio,Leptophlebiidae,101181,Ephemeroptera,Leptophlebiidae,NA,NA
Lobodiamesa,Chironomidae,127917,Diptera,Chironomidae,NA,NA
Polymeda/Ormosia,Cheilotrichia,120420,Diptera,Tipulidae,Cheilotrichia,NA
Polymeda/Ormosia,Ormosia,120830,Diptera,Tipulidae,Ormosia,NA
Palaeodipteron walkeri,Palaeodipteron walkeri,121294,Diptera,Nymphomyiidae,Palaeodipteron,Palaeodipteron walkeri
Hydrophorus,Hydrophorus,138606,Diptera,Dolichopodidae,Hydrophorus,NA
Antocha,Antocha,119656,Diptera,Tipulidae,Antocha,NA
Orimarga,Orimarga,120019,Diptera,Tipulidae,Orimarga,NA
Tanyderidae,Tanyderidae,125799,Diptera,Tanyderidae,NA,NA
Gonomyodes,Gonomyodes,120722,Diptera,Tipulidae,Gonomyodes,NA
Macrovelia hornii,Macrovelia hornii,103992,Hemiptera,Macroveliidae,Macrovelia,Macrovelia hornii
Stenus,Stenus,113576,Coleoptera,Staphylinidae,Stenus,NA
Staphylinidae,Staphylinidae,113265,Coleoptera,Staphylinidae,NA,NA
Hydraenidae,Hydraenidae,112756,Coleoptera,Hydraenidae,NA,NA
Pontomalota,Pontomalota,113281,Coleoptera,Staphylinidae,Pontomalota,NA
Pelocoris,Pelocoris,103665,Hemiptera,Naucoridae,Pelocoris,NA
Hydrophilidae,Hydrophilidae,112811,Coleoptera,Hydrophilidae,NA,NA
Noteridae,Noteridae,112606,Coleoptera,Noteridae,NA,NA
Hydrocolus,Hydrocolus,728250,Coleoptera,Dytiscidae,Hydrocolus,NA
Belostoma,Belostoma,103684,Hemiptera,Belostomatidae,Belostoma,NA
Haliplidae,Haliplidae,111857,Coleoptera,Haliplidae,NA,NA
Stenonema,Stenonema,100507,Ephemeroptera,Heptageniidae,Stenonema,NA
Thaumalea,Thaumalea,126629,Diptera,Thaumaleidae,Thaumalea,NA
Potamanthidae,Potamanthidae,101509,Ephemeroptera,Potamanthidae,NA,NA
Heptageniidae,Heptageniidae,100504,Ephemeroptera,Heptageniidae,NA,NA
Baetidae,Baetidae,100755,Ephemeroptera,Baetidae,NA,NA
Brachycercus,Brachycercus,101468,Ephemeroptera,Caenidae,Brachycercus,NA
Isonychia,Isonychia,101041,Ephemeroptera,Isonychiidae,Isonychia,NA
Caenidae,Caenidae,101467,Ephemeroptera,Caenidae,NA,NA
Ephemerella subvaria,Ephemerella subvaria,101241,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella subvaria
Ametropus,Ametropus,101074,Ephemeroptera,Ametropodidae,Ametropus,NA
Callibaetis,Callibaetis,100903,Ephemeroptera,Baetidae,Callibaetis,NA
Veliidae,Veliidae,103885,Hemiptera,Veliidae,NA,NA
Rhagovelia,Rhagovelia,103886,Hemiptera,Veliidae,Rhagovelia,NA
