Submitted_name,Accepted_name,Accepted_TSN,Order,Family,Genus,Species
Parametriocnemus,Parametriocnemus,128978,Diptera,Chironomidae,Parametriocnemus,NA
Gerris comatus,Gerris comatus,103834,Hemiptera,Gerridae,Gerris,Gerris comatus
Anagapetus,Anagapetus,117154,Trichoptera,Glossosomatidae,Anagapetus,NA
Kiefferulus,Kiefferulus,129522,Diptera,Chironomidae,Kiefferulus,NA
Anax,Anax,101597,Odonata,Aeshnidae,Anax,NA
Anabolia bimaculata,Anabolia bimaculata,115957,Trichoptera,Limnephilidae,Anabolia,Anabolia bimaculata
Clinocera,Clinocera,135849,Diptera,Empididae,Clinocera,NA
Eucapnopsis,Eucapnopsis,102785,Plecoptera,Capniidae,Eucapnopsis,NA
Stenelmis,Stenelmis,114095,Coleoptera,Elmidae,Stenelmis,NA
Phryganea cinerea,Phryganea cinerea,115894,Trichoptera,Phryganeidae,Phryganea,Phryganea cinerea
Argia,Argia,102139,Odonata,Coenagrionidae,Argia,NA
Cleptelmis addenda,Cleptelmis addenda,114166,Coleoptera,Elmidae,Cleptelmis,Cleptelmis addenda
Neoplasta,Neoplasta,136352,Diptera,Empididae,Neoplasta,NA
Drunella,Drunella,101365,Ephemeroptera,Ephemerellidae,Drunella,NA
Agabus griseipennis,Agabus griseipennis,112057,Coleoptera,Dytiscidae,Agabus,Agabus griseipennis
Donacia,Donacia,114510,Coleoptera,Chrysomelidae,Donacia,NA
Hydroptila ajax,Hydroptila ajax,115643,Trichoptera,Hydroptilidae,Hydroptila,Hydroptila ajax
Hydroptila,Hydroptila,115641,Trichoptera,Hydroptilidae,Hydroptila,NA
Nemoura trispinosa,Nemoura trispinosa,102535,Plecoptera,Nemouridae,Nemoura,Nemoura trispinosa
Uvarus,Uvarus,112575,Coleoptera,Dytiscidae,Uvarus,NA
Nyctiophylax,Nyctiophylax,117104,Trichoptera,Polycentropodidae,Nyctiophylax,NA
Pycnopsyche,Pycnopsyche,116409,Trichoptera,Limnephilidae,Pycnopsyche,NA
Erioptera,Erioptera,120503,Diptera,Tipulidae,Erioptera,NA
Meringodixa,Meringodixa,125873,Diptera,Dixidae,Meringodixa,NA
Climacia,Climacia,115086,Neuroptera,Sisyridae,Climacia,NA
Smittia,Smittia,129110,Diptera,Chironomidae,Smittia,NA
Sialis,Sialis,115002,Megaloptera,Sialidae,Sialis,NA
Somatochlora ensigera,Somatochlora ensigera,101965,Odonata,Corduliidae,Somatochlora,Somatochlora ensigera
Acentrella,Acentrella,100801,Ephemeroptera,Baetidae,Acentrella,NA
Limnephilus externus,Limnephilus externus,116146,Trichoptera,Limnephilidae,Limnephilus,Limnephilus externus
Demicryptochironomus,Demicryptochironomus,129421,Diptera,Chironomidae,Demicryptochironomus,NA
Mayatrichia ayama,Mayatrichia ayama,115812,Trichoptera,Hydroptilidae,Mayatrichia,Mayatrichia ayama
Helophorus,Helophorus,113106,Coleoptera,Helophoridae,Helophorus,NA
Leptophlebia nebulosa,Leptophlebia nebulosa,101165,Ephemeroptera,Leptophlebiidae,Leptophlebia,Leptophlebia nebulosa
